ISIN,Name,Value,Swiss Original,Currency,Price,Percentage,Maturity,Confidence
SECURITY_41,"Security with value 12'363'974",12363974,12'363'974,USD,961.1313,97463.52%,,0.7
XS2567543397,"GOLDMAN SACHS 10Y CALLABLE NOTE 2024-18.06.2034",2450000,2'450'000,USD,6.2026,1.26%,18.06.2026,0.85
XS2105981117,"GOLDMAN SACHS GR.STRUCT.NOTE 21-20.12.28 VRN ON NAT",1600000,1'600'000,USD,12.2028,0.35%,20.12.2028,0.8
XS2838389430,"GOLDMAN SACHS GR.STRUCT.NOTE 21-20.12.28 VRN ON NAT",1600000,1'600'000,USD,4.2033,0.35%,26.04.2033,0.85
XS2964611052,"GOLDMAN SACHS 0% NOTES 2025-03.02.2035",1470000,1'470'000,USD,2.2035,0.72%,03.02.2035,0.85
XS2792098779,"Security XS2792098779",1200000,1'200'000,USD,12.2034,1.83%,02.12.2034,0.85
XS2110079584,"Security XS2110079584",1100000,1'100'000,USD,6.2034,1.50%,18.06.2034,0.85
XS2381723902,"JPMORGAN CHASE  0   % NOTES 2024-29.10.34 SERIES 2021-",996057,996'057,USD,3.2025,4.13%,31.03.2025,0.8
XS2252299883,"NOVUS CAPITAL STRUCTURED NOTES 20-15.05.26 ON CS",989800,989'800,USD,3.2025,1.38%,28.03.2025,0.8
XS2692298537,"GOLDMAN SACHS 0% NOTES 23-07.11.29",690000,690'000,USD,11.2029,2.26%,07.11.2029,0.85
XS0461497009,"DEUTSCHE BANK NOTES 23-08.11.28 VRN",690000,690'000,USD,11.2028,1.54%,08.11.2028,0.85
XS2381717250,"BANK OF AMERICA 0 % NOTES 2024-11.12.34 REG S",500000,500'000,USD,3.2025,3.70%,27.03.2025,0.85
XS2519369867,"Security XS2519369867",500000,500'000,USD,6.2027,0.22%,21.06.2027,0.85
XS2315191069,"Security XS2315191069",500000,500'000,USD,6.2027,0.22%,21.06.2027,0.85
XS2824054402,"CITIGROUP GLBL 5.65 % CALL FIXED RATE NOTES 2024-",440000,440'000,USD,5.2026,1.81%,29.05.2026,0.85
LU2228214107,"Security LU2228214107",350000,350'000,USD,9.2024,1.14%,13.09.2024,0.85
XS2736388732,"CIBC 0% NOTES 2024-13.02.2030 VARIABLE RATE",250000,250'000,USD,2.203,2.58%,13.02.2030,0.85
XS2530201644,"TORONTO DOMINION BANK NOTES 23-23.02.27 REG-S VRN",200000,200'000,USD,2.2027,0.25%,23.02.2027,0.85
XS2912278723,"GOLDMAN SACHS EMTN 2024-30.09.2024",200000,200'000,USD,9.2024,1.92%,30.09.2024,0.85
XS1700087403,"NATIXIS STRUC.NOTES 19-20.6.26 VRN ON 4,75%METLIFE 21",200000,200'000,USD,6.2026,1.90%,20.06.2026,0.85
XS2594173093,"NATIXIS STRUC.NOTES 19-20.6.26 VRN ON 4,75%METLIFE 21",200000,200'000,USD,6.2026,1.90%,20.06.2026,0.85
XS2829752976,"GOLDMAN SACHS 0% EURO MEDIUM TERM NOTES 2024-",150000,150'000,EUR,11.2034,1.90%,18.11.2034,0.85
XS2953741100,"BANK OF AMERICA 0 % NOTES 2024-11.12.34 REG S",150000,150'000,USD,11.2034,1.90%,18.11.2034,0.85
XS2746319610,"DEUTSCHE BANK NOTES 23-08.11.28 VRN",140000,140'000,USD,3.203,3.10%,01.03.2030,0.85
SECURITY_40,"Security with value 103'770",103770,103'770,USD,961.1313,7700.53%,,0.7
XS2754416860,"GOLDMAN SACHS 0% NOTES 23-07.11.29 SERIES P",100000,100'000,USD,3.2025,1.16%,31.03.2025,0.85
XS2761230684,"LUMINIS (4.2 % MIN/5.5 % MAX) NOTES 2024-17.01.30",100000,100'000,USD,2.203,2.24%,13.02.2030,0.85
XS2848820754,"CITIGROUP GLBL 0 % MEDIUM TERM NOTES 2024-01.08.34",100000,100'000,USD,8.2034,1.16%,01.08.2034,0.85
XS2829712830,"GOLDMAN SACHS EMTN 2024-30.09.2024",100000,100'000,USD,8.2034,1.16%,01.08.2034,0.85
XS2993414619,"RBC LONDON 0% NOTES 2025-28.03.2035",97700,097'700,USD,3.2035,0.50%,28.03.2035,0.9
XS2481066111,"JPMORGAN CHASE 0% NOTES 2024-19.12.2034",50000,50'000,USD,12.2034,1.10%,19.12.2034,0.85
XS2782869916,"CITIGROUP GLBL 5.65 % CALL FIXED RATE NOTES 2024-",48667,048'667,USD,3.2025,2.86%,31.03.2025,0.8
XS2665592833,"HARP ISSUER NOTES 2023-18.09.2028",32000,32'000,USD,9.2028,0.74%,18.09.2028,0.9
XD0466760473,"Security XD0466760473",26129,26'129,USD,12.2023,0.13%,31.12.2023,0.85
CH0244767585,"Security CH0244767585",21496,021'496,CHF,221.5641,0.12%,31.03.2025,0.9
XS2714429128,"EMERALD BAY NOTES 23-17.09.29 S.2023-05 REG-S VRN",20343,20'343,USD,3.2025,1.35%,27.03.2025,0.9
XS2407295554,"NOVUS CAPITAL CREDIT LINKED NOTES 2023-27.09.2029",6514,6'514,USD,3.2025,0.19%,31.03.2025,0.9
XS3035947103,"WELLS FARGO 0 % EURO MEDIUM TERM NOTES 2025-28.03.36",2581,2'581,EUR,3.2036,0.00%,28.03.2036,0.85
XS2631782468,"LUMINIS REPACK NOTES 23-25.05.29 VRN ON 4,625%",1416,1'416,USD,3.2025,0.54%,31.03.2025,0.9
CH1269060229,"Security CH1269060229",1043,1'043,USD,3.2025,3.00%,31.03.2025,0.9
XS2588105036,"CANADIAN IMPERIAL BANK OF COMMERCE NOTES 23-22.08.28",1031,1'031,USD,3.2025,0.57%,28.03.2025,0.9
