Original,Parsed,Magnitude,Page
"366223","366,223","medium","1"
"1","1","tiny","2"
"1","1","tiny","2"
"1","1","tiny","2"
"2","2","tiny","2"
"2","2","tiny","2"
"2","2","tiny","2"
"2","2","tiny","2"
"2","2","tiny","2"
"2","2","tiny","2"
"3","3","tiny","2"
"3","3","tiny","2"
"3","3","tiny","2"
"4","4","tiny","2"
"4","4","tiny","2"
"4","4","tiny","2"
"5","5","tiny","2"
"5","5","tiny","2"
"5","5","tiny","2"
"5","5","tiny","2"
"5","5","tiny","2"
"5","5","tiny","2"
"6","6","tiny","2"
"6","6","tiny","2"
"6","6","tiny","2"
"10","10","tiny","2"
"10","10","tiny","2"
"10","10","tiny","2"
"11","11","tiny","2"
"11","11","tiny","2"
"11","11","tiny","2"
"13","13","tiny","2"
"13","13","tiny","2"
"13","13","tiny","2"
"14","14","tiny","2"
"14","14","tiny","2"
"14","14","tiny","2"
"15","15","tiny","2"
"15","15","tiny","2"
"15","15","tiny","2"
"17","17","tiny","2"
"17","17","tiny","2"
"17","17","tiny","2"
"103'770","103,770","medium","3"
"12'363'974","12,363,974","large","3"
"24'319","24,319","medium","3"
"6'946'239","6,946,239","large","3"
"26'129","26,129","medium","3"
"19'464'431","19,464,431","large","3"
"345'057","345,057","medium","3"
"84'967","84,967","medium","3"
"345'057","345,057","medium","3"
"19'440'112","19,440,112","large","3"
"21'496","21,496","medium","3"
"1.1313","1.131","tiny","3"
"1.1313","1.131","tiny","3"
"1.1313","1.131","tiny","3"
"0.8839","0.884","tiny","3"
"0.8839","0.884","tiny","3"
"0.8839","0.884","tiny","3"
"24'319","24,319","medium","3"
"19'464'431","19,464,431","large","3"
"103'770","103,770","medium","4"
"6'070","6,070","small","4"
"97'700","97,700","medium","4"
"12'363'974","12,363,974","large","4"
"11'002'508","11,002,508","large","4"
"1'361'466","1,361,466","large","4"
"24'319","24,319","medium","4"
"24'319","24,319","medium","4"
"6'946'239","6,946,239","large","4"
"5'956'439","5,956,439","large","4"
"989'800","989,800","medium","4"
"26'129","26,129","medium","4"
"26'129","26,129","medium","4"
"19'464'431","19,464,431","large","4"
"19'464'431","19,464,431","large","4"
"103'770","103,770","medium","5"
"6'070","6,070","small","5"
"97'700","97,700","medium","5"
"12'363'974","12,363,974","large","5"
