ISIN,Valor,Security Name,Quantity,Market Value,Currency
XS2993414619,140610687,"ORDINARY USD",2,265002,USD
XS2530201644,125350273,"Bonds, Bond funds, Convertible bonds, Interest options",2,27,USD
XS2588105036,112286204,"100.200099.6285200'288",2,28,USD
XS2665592833,128829182,"99.099098.37001'507'550",1,28,USD
XS2692298537,129157183,"Unknown Security",0,29,USD
XS2754416860,132648671,"Unknown Security",1,30,USD
XS2761230684,112288215,"Unknown Security",1,30,USD
XS2736388732,131799640,"Unknown Security",2,31,USD
XS2782869916,132544344,"100.200097.334048'667",0,34,USD
XS2824054402,135337661,"Price to be verified",2,26,USD
XS2567543397,134736192,"USD2'450'000",1,26,USD
XS2110079584,136429245,"GS 10Y CALLABLE NOTE 2024-18.06.2034",0,26,USD
XS2848820754,135116008,"100.2000100.060090'054",0,34,USD
XS2829712830,134735316,"Zero Bonds  //  Maturity: 01.08.2034",3,34,USD
XS2912278723,138689613,"GOLDMAN SACHS EMTN 2024-30.09.2024",1,34,USD
XS2381723902,128883231,"100.200096.056996'057",2,34,USD
XS2829752976,138874416,"99.679096.8300242'075",1,34,USD
XS2953741100,138494467,"Ordinary Bonds  //  Maturity: 18.11.2034",1,34,USD
XS2381717250,128883267,"Unknown Security",1,34,USD
XS2964611052,141235167,"USD1'470'000",1,35,USD
XS3035947103,143578751,"100.0000100.0000800'000",2,36,USD
LU2228214107,57282891,"81.530444.7800115'613",0,210907,USD
CH1269060229,126906022,"100.623797.6000342'643",2,28,USD
XS0461497009,130269069,"Bonds, Bond funds, Convertible bonds, Interest options",0,28,USD
XS2746319610,133393503,"DEUTSCHE BANK NOTES 23-08.11.28 VRN",0,30,USD
CH0244767585,24476758,"Equities, Equity funds, Options on equities/indices",9,91,USD
XS2519369867,121050656,"100.728897.9853196'221",2,27,USD
XS2315191069,111918998,"Other convertible bonds  //  Maturity: 21.06.2027",0,29,USD
XS2792098779,140288136,"BNP PARIBAS ISS STRUCT.NOTE 21-08.01.29 ON DBDK 29 631",0,93492,USD
XS2714429128,130738882,"100.446299.0900704'064",1,29,USD
XS2838389430,135968317,"Days: 10  //  PRC: 4.0 0",2,33,USD
XS2631782468,127708275,"98.018197.4900488'866",2,29,USD
XS1700087403,39877135,"91.021798.671998'672",2,243615,USD
XS2594173093,125443809,"Structured Bonds  //  Maturity: 20.06.2026  //  PRC: 5.00",2,29,USD
XS2407295554,114718568,"100.5243100.7200510'114",1,28,USD
XS2252299883,58001077,"100.366498.9800989'800",1,98052,USD
XD0466760473,46676047,"1'008.3748128.039526'129",0,191446,USD
