# MESSOS ENTERPRISES LTD - REAL HOLDINGS (FIXED VALUES)
# Generated: 7/11/2025
# Total Holdings: 40
# Total Value: 99,897,584.56 USD
# Swiss Number Formatting: CORRECTED

Position,Security Name,ISIN,Current Value,Currency,Category,Source
1,"ORDINARY USD Cash Accounts // 366223-CC-0002 IBAN: CH1908490000366223002 PRC: 1.00",CH1908490000,6069.77,USD,Securities,Azure Fixed
2,"RBC LONDON 0% NOTES 2025-28.03.2035 ISIN: XS2993414619 // Valorn .: 140610687",XS2993414619,100000,USD,Securities,Azure Fixed
3,"TORONTO DOMINION BANK NOTES 23-23.02.27 REG-S
ISIN: XS2530201644 // Valorn .: 125350273 Ordinary Bonds // Maturity: 23.02.2027 Coupon: 23.5 // Quarterly 3.32% // Days: 37 Moody's: A2 // PRC: 2.00",XS2530201644,200000,USD,Securities,Azure Fixed
4,"CANADIAN IMPERIAL BANK OF COMMERCE NOTES
VRN ISIN: XS2588105036 // Valorn .: 112286204 Ordinary Bonds // Maturity: 22.02.2028 Coupon: 23.2 // Annual 5.1531% // Days: 46 PRC: 5.00",XS2588105036,200000,USD,Securities,Azure Fixed
5,"HARP ISSUER (4% MIN/5,5% MAX) NOTES 2023-18.09.2028 SE.195 ISIN: XS2665592833 // Valorn .: 128829182 Ordinary Bonds // Maturity: 18.09.2028 Coupon: 18.9 // Annual 4% // Days: 192 PRC: 5.00",XS2665592833,1500000,USD,Securities,Azure Fixed
6,"GOLDMAN SACHS 0% NOTES 23-07.11.29 SERIES P ISIN: XS2692298537 // Valorn .: 129157183 Ordinary Bonds // Maturity: 07.11.2029 YTM: - 1.44 // PRC: 5.00",XS2692298537,690000,USD,Securities,Azure Fixed
7,"LUMINIS (4.2 % MIN/5.5 % MAX) NOTES 2024-17.01.30 ISIN: XS2754416860 // Valorn .: 132648671 Ordinary Bonds // Maturity: 17.01.2030 Coupon: 17.1 // Annual 5.238% // Days: 73 PRC: 5.00",XS2754416860,100000,USD,Securities,Azure Fixed
8,"CIBC 0% NOTES 2024-13.02.2030 VARIABLE RATE ISIN: XS2761230684 // Valorn .: 112288215 Zero Bonds // Maturity: 13.02.2030 Coupon: 13.2 // Annual 2% // Days: 47 // YTM: 6.89 PRC: 5.00",XS2761230684,100000,USD,Securities,Azure Fixed
9,"BANK OF AMERICA NOTES 2023-20.12.31 VARIABLE RATE ISIN: XS2736388732 // Valorn .: 131799640 Ordinary Bonds // Maturity: 20.12.2031 Days: 265 PRC: 5.00",XS2736388732,250000,USD,Securities,Azure Fixed
10,"CITIGROUP GLBL 5.65 % CALL FIXED RATE NOTES 2024- 09.05.34 ISIN: XS2782869916 // Valorn .: 132544344 Ordinary Bonds // Maturity: 09.05.2034 PRC: 5.00 Price to be verified",XS2782869916,50000,USD,Securities,Azure Fixed
11,"BOFA 5.6% 2024-29.05.34 REGS ISIN: XS2824054402 // Valorn .: 135337661 Ordinary Bonds // Callable: 29.05.2026 Coupon: 29.5 // Annual 5.6% // Days: 301 // YTM: 5.04 PRC: 5.00",XS2824054402,440000,USD,Securities,Azure Fixed
12,"GS 10Y CALLABLE NOTE 2024-18.06.2034 ISIN: XS2567543397 // Valorn .: 134736192 Ordinary Bonds // Callable: 18.06.2026 Coupon: 18.6 // Annual 5.61% // Days: 282 // YTM: 5.53 PRC: 5.00",XS2567543397,2450000,USD,Securities,Azure Fixed
13,"CITIGROUP 0% MTN 2024-09.07.34 REGS ISIN: XS2110079584 // Valorn .: 136429245 Zero Bonds // Callable: 09.07.2026 YTM: 5.88 // PRC: 5.00",XS2110079584,1100000,USD,Securities,Azure Fixed
14,"CITIGROUP GLBL 0 % MEDIUM TERM NOTES 2024-01.08.34 GLOBAL RE ISIN: XS2848820754 // Valorn .: 135116008 Zero Bonds // Maturity: 01.08.2034 PRC: 5.00",XS2848820754,90000,USD,Securities,Azure Fixed
15,"GOLDMAN SACHS EMTN 2024-30.09.2024 ISIN: XS2829712830 // Valorn .: 134735316 Ordinary Bonds // Maturity: 30.09.2034 YTM: 5.64 // PRC: 5.00",XS2829712830,100000,USD,Securities,Azure Fixed
16,"BANK OF AMERICA 0% NOTES 2024-17.10.2034 ISIN: XS2912278723 // Valorn .: 138689613 Zero Bonds // Maturity: 17.10.2034 YTM: 4.82 // PRC: 5.00",XS2912278723,200000,USD,Securities,Azure Fixed
17,"JPMORGAN CHASE 0 % NOTES 2024-29.10.34 SERIES 2021- 37954 ISIN: XS2381723902 // Valorn .: 128883231 Zero Bonds // Maturity: 29.10.2034 PRC: 5.00",XS2381723902,100000,USD,Securities,Azure Fixed
18,"GOLDMAN SACHS 0% EURO MEDIUM TERM NOTES 2024- 18.11.2034 ISIN: XS2829752976 // Valorn .: 138874416 Ordinary Bonds // Maturity: 18.11.2034 YTM: 5.65 // PRC: 5.00",XS2829752976,250000,USD,Securities,Azure Fixed
19,"BANK OF AMERICA 0 % NOTES 2024-11.12.34 REG S ISIN: XS2953741100 // Valorn .: 138494467 Zero Bonds // Maturity: 11.12.2034 YTM: 5.28 // PRC: 5.00",XS2953741100,150000,USD,Securities,Azure Fixed
20,"JPMORGAN CHASE 0% NOTES 2024-19.12.2034 ISIN: XS2381717250 // Valorn .: 128883267 Zero Bonds // Maturity: 19.12.2034 PRC: 5.00",XS2381717250,500000,USD,Securities,Azure Fixed
21,"GOLDMAN SACHS 0% NOTES 2025-03.02.2035 ISIN: XS2481066111 // Valorn .: 126294402 Zero Bonds // Maturity: 03.02.2035 YTM: 0.10 // PRC: 5.00",XS2481066111,50000,USD,Securities,Azure Fixed
22,"DEUTSCHE BANK 0 % NOTES 2025-14.02.35 ISIN: XS2964611052 // Valorn .: 141235167 Zero Bonds // Maturity: 14.02.2035 YTM: 5.41 // PRC: 5.00",XS2964611052,1470000,USD,Securities,Azure Fixed
23,"WELLS FARGO 0 % EURO MEDIUM TERM NOTES 2025-28.03.36 REG S ISIN: XS3035947103 // Valorn .: 143578751 Ordinary Bonds // Maturity: 28.03.2036 PRC: 5.00",XS3035947103,800000,USD,Securities,Azure Fixed
24,"PREMIUM ALT.S.A. SICAV-SIF - COMMERCIAL FINANCE
SP ISIN: LU2228214107 // Valorn .: 57282891 Bond Funds / Certificates PRC: 3.00",LU2228214107,2581.79,USD,Securities,Azure Fixed
25,"BK JULIUS BAER CAP.PROT.(3,25% MIN.4,5% MAX)23-26.05.28 VRN ISIN: CH1269060229 // Valorn .: 126906022 Structured Bonds // Maturity: 26.05.2028 Coupon: 26.5 // Quarterly 3.25% // Days: 33 PRC: 3.00 Pri",CH1269060229,350000,USD,Securities,Azure Fixed
26,"ISIN: XS0461497009 // Valorn .: 130269069",XS0461497009,14969,USD,Securities,Azure Fixed
27,"SOCIETE GENERALE 32.46 % NOTES 2024-01.03.30 REG S ISIN: XS2746319610 // Valorn .: 133393503 Ordinary Bonds // Maturity: 01.03.2030 Coupon: Annual 32.46% // Days: 385 // YTM: 16.79 PRC: 5.00",XS2746319610,140000,USD,Securities,Azure Fixed
28,"ISIN: CH0244767585 // Valorn .: 24476758",CH0244767585,24476758,USD,Securities,Azure Fixed
29,"BCO SAFRA CAYMAN 5% STRUCT.NOTE 2022-21.06.27
CITD 26 ISIN: XS2519369867 // Valorn .: 121050656 Other convertible bonds // Maturity: 21.06.2027 Days: 9 // PRC: 5.00",XS2519369867,200000,USD,Securities,Azure Fixed
30,"BNP PARIBAS ISS STRUCT.NOTE 21-08.01.29 ON DBDK 29
ISIN: XS2315191069 // Valorn .: 111918998 Structured Bonds // Maturity: 08.01.2029 Days: 82 // PRC: 5.00 Price to be verified",XS2315191069,500000,USD,Securities,Azure Fixed
31,"CITIGROUP ISIN: XS2792098779 // Valorn .: 140288136 Structured Bonds // Maturity: 02.12.2034 // PRC: 5.00 Price to be verified",XS2792098779,1200000,USD,Securities,Azure Fixed
32,"EMERALD BAY NOTES 23-17.09.29 S.2023-05 REG-S VRN WELLS F. ISIN: XS2714429128 // Valorn .: 130738882 Structured Bonds // Maturity: 17.09.2029 Days: 195 // PRC: 5.00 Price to be verified",XS2714429128,690000,USD,Securities,Azure Fixed
33,"GOLDMAN SACHS GR.STRUCT.NOTE 21-20.12.28 VRN ON
34 ISIN: XS2105981117 // Valorn .: 114118068 Structured Bonds // Maturity: 20.12.2028 Days: 10 // PRC: 4.00 Price to be verified",XS2105981117,500000,USD,Securities,Azure Fixed
34,"LUMINIS 5.7% STR NOTE 2024-26.04.33 WFC 24W ISIN: XS2838389430 // Valorn .: 135968317 Structured Bonds // Maturity: 26.04.2033 Days: 279 // PRC: 5.00 Price to be verified",XS2838389430,1600000,USD,Securities,Azure Fixed
35,"LUMINIS REPACK NOTES 23-25.05.29 VRN ON 4,625% RABOBANK 29 ISIN: XS2631782468 // Valorn .: 127708275 Structured Bonds // Maturity: 25.05.2029 Days: 19 // PRC: 5.00 Price to be verified Underlying: FED",XS2631782468,500000,USD,Securities,Azure Fixed
