# MESSOS ENTERPRISES LTD - REAL HOLDINGS EXTRACTION
# Generated: 7/11/2025
# Total Holdings: 40
# Total Value: 3,047,906,296,918

Position,Security Name,ISIN,Current Value,Currency,Category,Source,Additional Info
1,"ORDINARY USD Cash Accounts // 366223-CC-0002 IBAN: CH1908490000366223002 PRC: 1.00",CH1908490000,6070,USD,Securities,Azure Table,"USD 6'069.77 ORDINARY USD Cash Accounts // 366223-CC-0002 IBAN: CH1908490000366223002 PRC: 1.00     "
2,"RBC LONDON 0% NOTES 2025-28.03.2035 ISIN: XS2993414619 // Valorn .: 140610687",XS2993414619,97700,USD,Securities,Azure Table,"USD 100'000.00 RBC LONDON 0% NOTES 2025-28.03.2035 ISIN: XS2993414619 // Valorn .: 140610687 100.000"
3,"TORONTO DOMINION BANK NOTES 23-23.02.27 REG-S
ISIN: XS2530201644 // Valorn .: 125350273 Ordinary Bonds // Maturity: 23.02.2027 Coupon: 23.5 // Quarterly 3.32% // Days: 37 Moody's: A2 // PRC: 2.00",XS2530201644,199080682,USD,Securities,Azure Table,"USD 200'000 TORONTO DOMINION BANK NOTES 23-23.02.27 REG-S
ISIN: XS2530201644 // Valorn .: 125350273 "
4,"CANADIAN IMPERIAL BANK OF COMMERCE NOTES
VRN ISIN: XS2588105036 // Valorn .: 112286204 Ordinary Bonds // Maturity: 22.02.2028 Coupon: 23.2 // Annual 5.1531% // Days: 46 PRC: 5.00",XS2588105036,2002881031,USD,Securities,Azure Table,"USD 200'000 CANADIAN IMPERIAL BANK OF COMMERCE NOTES
VRN ISIN: XS2588105036 // Valorn .: 112286204 O"
5,"HARP ISSUER (4% MIN/5,5% MAX) NOTES 2023-18.09.2028 SE.195 ISIN: XS2665592833 // Valorn .: 128829182 Ordinary Bonds // Maturity: 18.09.2028 Coupon: 18.9 // Annual 4% // Days: 192 PRC: 5.00",XS2665592833,150755032000,USD,Securities,Azure Table,"USD 1'500'000 HARP ISSUER (4% MIN/5,5% MAX) NOTES 2023-18.09.2028 SE.195 ISIN: XS2665592833 // Valor"
6,"GOLDMAN SACHS 0% NOTES 23-07.11.29 SERIES P ISIN: XS2692298537 // Valorn .: 129157183 Ordinary Bonds // Maturity: 07.11.2029 YTM: - 1.44 // PRC: 5.00",XS2692298537,737748,USD,Securities,Azure Table,"USD 690'000 GOLDMAN SACHS 0% NOTES 23-07.11.29 SERIES P ISIN: XS2692298537 // Valorn .: 129157183 Or"
7,"LUMINIS (4.2 % MIN/5.5 % MAX) NOTES 2024-17.01.30 ISIN: XS2754416860 // Valorn .: 132648671 Ordinary Bonds // Maturity: 17.01.2030 Coupon: 17.1 // Annual 5.238% // Days: 73 PRC: 5.00",XS2754416860,982021062,USD,Securities,Azure Table,"USD 100'000 LUMINIS (4.2 % MIN/5.5 % MAX) NOTES 2024-17.01.30 ISIN: XS2754416860 // Valorn .: 132648"
8,"CIBC 0% NOTES 2024-13.02.2030 VARIABLE RATE ISIN: XS2761230684 // Valorn .: 112288215 Zero Bonds // Maturity: 13.02.2030 Coupon: 13.2 // Annual 2% // Days: 47 // YTM: 6.89 PRC: 5.00",XS2761230684,102506261,USD,Securities,Azure Table,"USD 100'000 CIBC 0% NOTES 2024-13.02.2030 VARIABLE RATE ISIN: XS2761230684 // Valorn .: 112288215 Ze"
9,"BANK OF AMERICA NOTES 2023-20.12.31 VARIABLE RATE ISIN: XS2736388732 // Valorn .: 131799640 Ordinary Bonds // Maturity: 20.12.2031 Days: 265 PRC: 5.00",XS2736388732,2569588833,USD,Securities,Azure Table,"USD 250'000 BANK OF AMERICA NOTES 2023-20.12.31 VARIABLE RATE ISIN: XS2736388732 // Valorn .: 131799"
10,"CITIGROUP GLBL 5.65 % CALL FIXED RATE NOTES 2024- 09.05.34 ISIN: XS2782869916 // Valorn .: 132544344 Ordinary Bonds // Maturity: 09.05.2034 PRC: 5.00 Price to be verified",XS2782869916,48667,USD,Securities,Azure Table,"USD 50'000 CITIGROUP GLBL 5.65 % CALL FIXED RATE NOTES 2024- 09.05.34 ISIN: XS2782869916 // Valorn ."
11,"BOFA 5.6% 2024-29.05.34 REGS ISIN: XS2824054402 // Valorn .: 135337661 Ordinary Bonds // Callable: 29.05.2026 Coupon: 29.5 // Annual 5.6% // Days: 301 // YTM: 5.04 PRC: 5.00",XS2824054402,47815820602,USD,Securities,Azure Table,"USD 440'000 BOFA 5.6% 2024-29.05.34 REGS ISIN: XS2824054402 // Valorn .: 135337661 Ordinary Bonds //"
12,"GS 10Y CALLABLE NOTE 2024-18.06.2034 ISIN: XS2567543397 // Valorn .: 134736192 Ordinary Bonds // Callable: 18.06.2026 Coupon: 18.6 // Annual 5.61% // Days: 282 // YTM: 5.53 PRC: 5.00",XS2567543397,2570405107665,USD,Securities,Azure Table,"USD 2'450'000 GS 10Y CALLABLE NOTE 2024-18.06.2034 ISIN: XS2567543397 // Valorn .: 134736192 Ordinar"
13,"CITIGROUP 0% MTN 2024-09.07.34 REGS ISIN: XS2110079584 // Valorn .: 136429245 Zero Bonds // Callable: 09.07.2026 YTM: 5.88 // PRC: 5.00",XS2110079584,1101100,USD,Securities,Azure Table,"USD 1'100'000 CITIGROUP 0% MTN 2024-09.07.34 REGS ISIN: XS2110079584 // Valorn .: 136429245 Zero Bon"
14,"CITIGROUP GLBL 0 % MEDIUM TERM NOTES 2024-01.08.34 GLOBAL RE ISIN: XS2848820754 // Valorn .: 135116008 Zero Bonds // Maturity: 01.08.2034 PRC: 5.00",XS2848820754,90054,USD,Securities,Azure Table,"USD 90'000 CITIGROUP GLBL 0 % MEDIUM TERM NOTES 2024-01.08.34 GLOBAL RE ISIN: XS2848820754 // Valorn"
15,"GOLDMAN SACHS EMTN 2024-30.09.2024 ISIN: XS2829712830 // Valorn .: 134735316 Ordinary Bonds // Maturity: 30.09.2034 YTM: 5.64 // PRC: 5.00",XS2829712830,92320,USD,Securities,Azure Table,"USD 100'000 GOLDMAN SACHS EMTN 2024-30.09.2024 ISIN: XS2829712830 // Valorn .: 134735316 Ordinary Bo"
16,"BANK OF AMERICA 0% NOTES 2024-17.10.2034 ISIN: XS2912278723 // Valorn .: 138689613 Zero Bonds // Maturity: 17.10.2034 YTM: 4.82 // PRC: 5.00",XS2912278723,199131,USD,Securities,Azure Table,"USD 200'000 BANK OF AMERICA 0% NOTES 2024-17.10.2034 ISIN: XS2912278723 // Valorn .: 138689613 Zero "
17,"JPMORGAN CHASE 0 % NOTES 2024-29.10.34 SERIES 2021- 37954 ISIN: XS2381723902 // Valorn .: 128883231 Zero Bonds // Maturity: 29.10.2034 PRC: 5.00",XS2381723902,96057,USD,Securities,Azure Table,"USD 100'000 JPMORGAN CHASE 0 % NOTES 2024-29.10.34 SERIES 2021- 37954 ISIN: XS2381723902 // Valorn ."
18,"GOLDMAN SACHS 0% EURO MEDIUM TERM NOTES 2024- 18.11.2034 ISIN: XS2829752976 // Valorn .: 138874416 Ordinary Bonds // Maturity: 18.11.2034 YTM: 5.65 // PRC: 5.00",XS2829752976,242075,USD,Securities,Azure Table,"USD 250'000 GOLDMAN SACHS 0% EURO MEDIUM TERM NOTES 2024- 18.11.2034 ISIN: XS2829752976 // Valorn .:"
