ISIN,Name,Value,Swiss Original,Currency,Price,Percentage,Date,Confidence,Method
XS2631782468,"LUMINIS REPACK NOTES 23-25.05.29 VRN ON 4,625%",1623960,1623960,USD,4.2033,0.35%,26.04.2033,0.8,combined
XS2692298537,"HARP ISSUER (4% MIN/5,5% MAX) NOTES 2023-18.09.2028",1500000,1500000,USD,2.2028,5.1531%,22.02.2028,0.8,combined
XS3035947103,"WELLS FARGO 0 % EURO MEDIUM TERM NOTES 2025-28.03.36",1470000,1470000,USD,3.2025,0.72%,31.03.2025,0.8,combined
XS2714429128,"EMERALD BAY NOTES 23-17.09.29 S.2023-05 REG-S VRN",1200000,1200000,USD,12.2034,1.83%,02.12.2034,0.8,combined
XS2829712830,"CITIGROUP GLBL 0 % MEDIUM TERM NOTES 2024-01.08.34",1101100,1101100,USD,7.2026,0.00%,09.07.2026,0.8,combined
LU2228214107,"WELLS FARGO 0 % EURO MEDIUM TERM NOTES 2025-28.03.36",800000,800000,USD,100,0.00%,28.03.2025,0.8,combined
XS2761230684,"LUMINIS (4.2 % MIN/5.5 % MAX) NOTES 2024-17.01.30",737748,737748,USD,100.1,6.81%,31.03.2025,0.8,combined
XS2105981117,"EMERALD BAY NOTES 23-17.09.29 S.2023-05 REG-S VRN",704064,704064,USD,100.4462,3.62%,27.03.2025,0.8,combined
XS0461497009,"SOCIETE GENERALE 32.46 % NOTES 2024-01.03.30 REG S",690000,690000,USD,11.2028,1.54%,08.11.2028,0.8,combined
XS2746319610,"SOCIETE GENERALE 32.46 % NOTES 2024-01.03.30 REG S",690000,690000,USD,11.2028,1.54%,08.11.2028,0.8,combined
XS2252299883,"NOVUS CAPITAL STRUCTURED NOTES 20-15.05.26 ON CS",510114,510114,USD,100.5243,2.62%,31.03.2025,0.8,combined
XS2964611052,"WELLS FARGO 0 % EURO MEDIUM TERM NOTES 2025-28.03.36",505500,505500,USD,12.2034,0.90%,19.12.2034,0.8,combined
