ISIN,Name,Market Value,Currency,Confidence,Method,Strategy,Validation Score
XS2530201644,"ISIN:",200000,USD,0.7200000000000001,ultra_accurate_context,context,1
XS2588105036,"ISIN:",1500000,CHF,0.81,ultra_accurate_position,position,1
XS2665592833,"ISIN:",690000,CHF,0.81,ultra_accurate_position,position,1
XS2692298537,"ISIN:",737748,CHF,0.81,ultra_accurate_position,position,1
XS2782869916,"ISIN:",440000,CHF,0.81,ultra_accurate_position,position,1
XS2824054402,"ISIN:",20602,CHF,0.81,ultra_accurate_position,position,1
XS2567543397,"ISIN:",107665,CHF,0.81,ultra_accurate_position,position,1
XS2110079584,"ISIN:",100000,CHF,0.7200000000000001,ultra_accurate_context,context,1
XS2829712830,"ISIN:",200000,CHF,0.81,ultra_accurate_position,position,1
XS2912278723,"ISIN:",996057,CHF,0.81,ultra_accurate_position,position,1
XS2381723902,"ISIN:",44218,CHF,0.63,ultra_accurate_position,position,1
XS2829752976,"ISIN:",146625,CHF,0.81,ultra_accurate_position,position,1
XS2964611052,"ISIN:",470000,CHF,0.81,ultra_accurate_position,position,1
CH1269060229,"ISIN:",44218,CHF,0.63,ultra_accurate_position,position,1
XS2746319610,"ISIN:",1361466,CHF,0.81,ultra_accurate_position,position,1
CH0244767585,"ISIN:",21496,CHF,0.63,ultra_accurate_line,line,1
XS2519369867,"ISIN:",1200000,CHF,0.81,ultra_accurate_position,position,1
XS2315191069,"ISIN:",690000,CHF,0.81,ultra_accurate_position,position,1
XS2792098779,"ISIN:",200000,CHF,0.7200000000000001,ultra_accurate_context,context,1
XS2105981117,"ISIN:",488866,CHF,0.81,ultra_accurate_position,position,1
XS2838389430,"ISIN:",600000,CHF,0.81,ultra_accurate_position,position,1
XS2594173093,"ISIN:",1000000,CHF,0.81,ultra_accurate_position,position,1
XS2407295554,"ISIN:",5956439,USD,0.81,ultra_accurate_position,position,1
XS2993414619,"ISIN:",97700,USD,0.63,ultra_accurate_line,line,0.98
XS2848820754,"ISIN:",2034,USD,0.63,ultra_accurate_line,line,0.88
XS2953741100,"ISIN:",2034,USD,0.63,ultra_accurate_line,line,0.88
XS2381717250,"ISIN:",2034,USD,0.63,ultra_accurate_line,line,0.88
XS2481066111,"ISIN:",2035,USD,0.63,ultra_accurate_line,line,0.88
LU2228214107,"ISIN:",2024,USD,0.63,ultra_accurate_line,line,0.88
XS2714429128,"ISIN:",2029,USD,0.63,ultra_accurate_line,line,0.88
XS2631782468,"ISIN:",2029,USD,0.63,ultra_accurate_line,line,0.88
XS1700087403,"ISIN:",2026,USD,0.63,ultra_accurate_line,line,0.88
XS2252299883,"ISIN:",2026,USD,0.63,ultra_accurate_line,line,0.88
CH1908490000,"IBAN:",6069,USD,0.63,ultra_accurate_line,line,0.88
XS2754416860,"ISIN:",200097,CHF,0.45,ultra_accurate_position,position,0.8500000000000001
XS2761230684,"ISIN:",2000102,CHF,0.45,ultra_accurate_position,position,0.8500000000000001
XS2736388732,"ISIN:",50000,CHF,0.45,ultra_accurate_position,position,0.8500000000000001
XS3035947103,"ISIN:",6000342,CHF,0.45,ultra_accurate_position,position,0.8500000000000001
XS0461497009,"ISIN:",2000102,CHF,0.45,ultra_accurate_position,position,0.8500000000000001
XD0466760473,"ISIN:",16690,CHF,0.45,ultra_accurate_position,position,0.8500000000000001
